gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,1,No,Yes,55,Yes,Yes,Liquid Home,Month-to-month,No,OneMoney,8.0,516.83,0
Female,1,No,Yes,42,Yes,Yes,None,Two year,No,Bank debit order,8.0,306.85,0
Male,0,Yes,Yes,35,Yes,Yes,None,Month-to-month,No,ZIPIT,32.75,1119.85,0
Male,0,No,Yes,35,Yes,Yes,None,One year,Yes,EcoCash,24.09,926.06,0
Male,0,Yes,Yes,18,Yes,Yes,Econet Mobile,Month-to-month,Yes,EcoCash,35.78,649.13,0
Male,0,No,Yes,53,Yes,Yes,TelOne ADSL,Month-to-month,No,EcoCash,51.21,2630.85,1
Male,0,No,Yes,38,Yes,Yes,Liquid Home,One year,Yes,ZIPIT,49.3,1813.48,0
Female,0,Yes,No,0,Yes,No,None,Month-to-month,No,EcoCash,8.0,0.0,0
Male,1,Yes,No,29,Yes,Yes,Liquid Home,Month-to-month,No,EcoCash,84.44,2390.01,1
Female,0,No,Yes,29,Yes,No,ZOL Fibroniks,Month-to-month,Yes,EcoCash,45.04,1332.95,0
Female,0,No,No,64,Yes,Yes,ZOL Fibroniks,Month-to-month,Yes,Cash deposit,43.21,2722.28,1
Female,0,Yes,Yes,31,Yes,No,Econet Mobile,Month-to-month,No,EcoCash,35.33,1081.25,0
Female,0,No,No,41,Yes,Yes,Liquid Home,One year,Yes,EcoCash,32.96,1321.0,1
Male,1,No,No,6,Yes,Yes,Econet Mobile,Month-to-month,Yes,EcoCash,57.8,278.53,1
Female,0,Yes,No,28,Yes,No,TelOne ADSL,Month-to-month,Yes,ZIPIT,20.48,507.6,0
Male,1,No,No,20,Yes,No,Liquid Home,Two year,Yes,EcoCash,43.52,915.97,0
Male,0,Yes,Yes,36,Yes,No,Econet Mobile,Month-to-month,Yes,ZIPIT,65.29,2366.78,0
Female,1,Yes,Yes,65,Yes,No,Econet Mobile,Month-to-month,Yes,ZIPIT,41.42,2532.41,0
Male,0,No,Yes,68,Yes,No,ZOL Fibroniks,Month-to-month,Yes,EcoCash,47.24,3180.58,0
Male,0,Yes,Yes,20,Yes,Yes,ZOL Fibroniks,One year,Yes,Cash deposit,12.72,299.04,0
Male,0,No,No,44,No,No phone service,TelOne ADSL,Month-to-month,No,EcoCash,52.88,2354.96,1
Female,0,No,Yes,69,No,No phone service,ZOL Fibroniks,Month-to-month,Yes,ZIPIT,44.65,3187.11,1
Male,0,No,Yes,16,Yes,No,Liquid Home,Month-to-month,No,OneMoney,36.2,566.31,0
Male,0,Yes,No,31,Yes,No,None,Month-to-month,No,EcoCash,50.99,1599.47,1
Male,0,Yes,No,36,Yes,Yes,ZOL Fibroniks,Month-to-month,Yes,EcoCash,17.42,582.97,1
Female,0,No,No,0,Yes,No,Liquid Home,Month-to-month,Yes,OneMoney,70.42,0.0,1
Male,0,No,Yes,33,Yes,No,Liquid Home,Month-to-month,No,EcoCash,90.06,2990.2,1
Male,0,No,No,8,Yes,Yes,Liquid Home,Month-to-month,Yes,OneMoney,27.18,197.79,1
Male,0,Yes,Yes,22,Yes,No,Liquid Home,Month-to-month,Yes,OneMoney,59.16,1434.79,1
Female,0,Yes,No,8,Yes,Yes,ZOL Fibroniks,Month-to-month,Yes,ZIPIT,35.41,253.87,0
Female,0,Yes,Yes,53,No,No phone service,Econet Mobile,Month-to-month,Yes,EcoCash,15.85,819.0,0
Female,0,No,Yes,60,Yes,No,Econet Mobile,One year,Yes,EcoCash,61.35,3685.05,0
Male,0,Yes,No,19,Yes,Yes,TelOne ADSL,Month-to-month,No,OneMoney,32.89,671.94,1
Male,0,No,Yes,2,Yes,No,None,Month-to-month,No,ZIPIT,49.01,140.82,0
Female,0,Yes,Yes,35,Yes,Yes,ZOL Fibroniks,Month-to-month,Yes,EcoCash,72.39,2450.61,1
Female,1,Yes,Yes,8,Yes,Yes,TelOne ADSL,Month-to-month,Yes,EcoCash,47.5,445.36,0
Female,0,No,No,32,Yes,No,Econet Mobile,Two year,Yes,Cash deposit,41.76,1328.15,0
Male,0,No,No,39,Yes,No,TelOne ADSL,Two year,Yes,EcoCash,20.72,674.15,1
Male,0,No,Yes,34,Yes,No,None,Month-to-month,No,ZIPIT,20.78,706.65,0
Female,0,Yes,No,38,Yes,No,TelOne ADSL,Two year,Yes,Cash deposit,35.55,1299.98,0
Female,0,No,Yes,41,Yes,No,None,Month-to-month,No,EcoCash,31.18,1337.54,0
Male,0,Yes,No,11,Yes,Yes,ZOL Fibroniks,One year,Yes,EcoCash,50.24,569.89,0
Female,0,No,Yes,49,Yes,No,ZOL Fibroniks,One year,Yes,OneMoney,18.4,955.4,0
Female,0,No,Yes,48,Yes,Yes,Liquid Home,Month-to-month,No,Cash deposit,24.05,1214.1,0
Male,0,Yes,No,10,Yes,No,Econet Mobile,One year,No,Cash deposit,35.27,329.86,0
Female,0,No,No,31,Yes,No,ZOL Fibroniks,Month-to-month,Yes,EcoCash,39.73,1244.12,1
Male,1,Yes,Yes,21,Yes,Yes,ZOL Fibroniks,Two year,No,EcoCash,39.05,876.89,1
Male,1,Yes,Yes,29,Yes,No,None,Month-to-month,No,EcoCash,34.48,1011.04,1
Female,1,Yes,No,56,Yes,No,TelOne ADSL,Month-to-month,Yes,EcoCash,23.88,1296.1,1
Female,1,Yes,Yes,43,Yes,Yes,Liquid Home,Month-to-month,No,EcoCash,48.43,2154.71,0
Male,0,No,Yes,66,Yes,No,ZOL Fibroniks,Month-to-month,No,Cash deposit,59.29,3914.4,1
Female,0,No,Yes,41,Yes,No,Econet Mobile,Month-to-month,Yes,EcoCash,43.58,1747.42,0
Male,0,No,Yes,3,Yes,Yes,None,Month-to-month,Yes,EcoCash,27.56,178.46,1
Female,0,No,Yes,51,Yes,No,Econet Mobile,Month-to-month,No,EcoCash,8.0,312.74,0
Male,0,No,Yes,5,Yes,No,ZOL Fibroniks,One year,Yes,Bank debit order,67.88,306.07,0
Female,1,Yes,Yes,24,Yes,Yes,TelOne ADSL,Month-to-month,No,EcoCash,34.85,807.72,0
Female,0,Yes,Yes,68,Yes,Yes,Liquid Home,Month-to-month,Yes,ZIPIT,61.8,4246.28,0
Female,0,Yes,No,72,Yes,No,None,Month-to-month,Yes,Cash deposit,67.55,4846.08,0
Female,0,No,Yes,10,Yes,No,Econet Mobile,Month-to-month,Yes,ZIPIT,52.47,490.45,0
Male,0,No,No,71,Yes,No,Econet Mobile,Month-to-month,Yes,EcoCash,55.19,3970.66,0
Female,0,No,Yes,71,Yes,No,Liquid Home,Month-to-month,No,ZIPIT,53.75,3855.33,1
Male,0,Yes,Yes,64,Yes,No,ZOL Fibroniks,Month-to-month,Yes,EcoCash,34.02,2162.9,0
Female,0,Yes,Yes,60,Yes,No,Econet Mobile,Month-to-month,No,EcoCash,17.33,1051.47,0
Female,0,No,Yes,5,Yes,Yes,TelOne ADSL,Month-to-month,No,Cash deposit,52.36,205.44,0
Male,1,Yes,No,8,Yes,No,ZOL Fibroniks,Two year,Yes,OneMoney,10.47,72.31,0
Female,0,No,Yes,44,Yes,Yes,Econet Mobile,Month-to-month,Yes,OneMoney,30.93,1357.42,1
Female,0,Yes,No,7,Yes,No,ZOL Fibroniks,Two year,No,ZIPIT,26.49,120.69,1
Male,0,Yes,No,18,Yes,Yes,Econet Mobile,One year,Yes,ZIPIT,48.31,786.9,0
Male,0,No,Yes,71,Yes,Yes,Econet Mobile,Month-to-month,Yes,Bank debit order,42.19,2975.55,1
Male,0,No,No,66,Yes,No,ZOL Fibroniks,One year,Yes,ZIPIT,26.45,1798.47,0
Male,1,No,Yes,18,Yes,Yes,Econet Mobile,Two year,No,OneMoney,30.41,576.39,0
Male,0,Yes,Yes,39,Yes,Yes,Liquid Home,Two year,No,EcoCash,73.25,2826.78,0
Female,0,Yes,Yes,39,Yes,No,TelOne ADSL,Month-to-month,No,OneMoney,23.88,1061.03,1
Female,0,No,No,19,Yes,No,None,Month-to-month,Yes,EcoCash,34.7,605.7,0
Male,0,No,No,17,Yes,Yes,None,One year,No,OneMoney,48.42,850.63,0
Female,0,Yes,No,31,Yes,Yes,Liquid Home,Month-to-month,Yes,ZIPIT,39.27,1190.93,1
Female,0,No,No,43,Yes,No,Econet Mobile,Month-to-month,No,EcoCash,48.96,2165.97,1
Male,1,Yes,Yes,58,Yes,No,TelOne ADSL,Month-to-month,No,Cash deposit,57.78,3345.55,0
Female,0,Yes,No,61,Yes,Yes,Econet Mobile,Month-to-month,Yes,EcoCash,63.91,3886.56,1
Female,0,No,No,1,Yes,Yes,Liquid Home,Month-to-month,No,Cash deposit,38.81,87.0,1
Female,0,No,No,47,Yes,No,Liquid Home,Two year,Yes,EcoCash,45.3,2120.84,0
Female,0,Yes,No,44,Yes,Yes,ZOL Fibroniks,One year,No,ZIPIT,41.78,1875.25,0
Female,1,Yes,No,3,Yes,No,None,One year,Yes,OneMoney,21.89,60.19,0
Male,0,No,Yes,60,Yes,Yes,None,One year,Yes,EcoCash,41.51,2359.27,0
Female,0,No,No,43,Yes,No,ZOL Fibroniks,Month-to-month,No,EcoCash,8.35,466.85,0
Female,0,No,No,52,Yes,No,TelOne ADSL,Month-to-month,Yes,Cash deposit,44.75,2352.92,0
Male,0,Yes,No,48,Yes,Yes,Liquid Home,One year,Yes,EcoCash,8.0,368.56,0
Female,0,No,Yes,24,Yes,No,ZOL Fibroniks,Month-to-month,Yes,EcoCash,20.19,552.77,0
Male,0,No,Yes,14,Yes,Yes,ZOL Fibroniks,Month-to-month,No,Cash deposit,53.4,699.25,1
Male,0,No,No,27,Yes,No,Econet Mobile,One year,No,ZIPIT,46.37,1206.42,0
Male,0,Yes,No,55,Yes,No,Liquid Home,One year,No,Cash deposit,37.69,2002.22,0
Female,0,No,No,46,Yes,Yes,TelOne ADSL,Month-to-month,Yes,Bank debit order,29.89,1364.92,0
Male,0,No,No,45,Yes,No,None,One year,Yes,EcoCash,22.44,976.73,0
Male,0,No,Yes,9,Yes,No,ZOL Fibroniks,One year,Yes,Cash deposit,27.72,234.96,1
Male,0,No,No,0,Yes,No,TelOne ADSL,Two year,Yes,EcoCash,50.33,0.0,0
Female,0,No,Yes,48,Yes,Yes,None,One year,No,Bank debit order,33.43,1570.34,0
Female,0,Yes,Yes,69,Yes,No,Econet Mobile,Month-to-month,Yes,ZIPIT,8.0,574.76,0
Male,0,Yes,Yes,26,Yes,Yes,ZOL Fibroniks,One year,Yes,Cash deposit,15.83,479.86,0
Male,0,No,Yes,32,Yes,No,ZOL Fibroniks,Two year,Yes,OneMoney,23.39,750.71,0
Female,0,Yes,Yes,69,Yes,Yes,Econet Mobile,Month-to-month,No,ZIPIT,33.24,2268.66,0
Male,1,Yes,No,16,Yes,No,ZOL Fibroniks,One year,Yes,Bank debit order,32.72,555.02,0
Female,0,No,Yes,38,Yes,No,TelOne ADSL,Month-to-month,No,EcoCash,18.99,780.49,1
Male,0,Yes,No,6,Yes,Yes,ZOL Fibroniks,Month-to-month,Yes,EcoCash,49.07,350.56,1
Female,0,No,Yes,19,No,No phone service,Econet Mobile,Month-to-month,Yes,Cash deposit,8.0,177.57,1
Male,0,Yes,No,27,Yes,No,Liquid Home,Month-to-month,No,Bank debit order,24.57,625.7,1
Male,0,Yes,Yes,50,Yes,Yes,Liquid Home,Month-to-month,Yes,ZIPIT,52.12,2603.24,0
Female,0,Yes,No,22,Yes,No,Econet Mobile,One year,Yes,EcoCash,47.72,1061.97,0
Male,0,No,No,33,Yes,No,ZOL Fibroniks,Month-to-month,Yes,EcoCash,33.14,970.91,0
Female,0,No,Yes,21,Yes,Yes,TelOne ADSL,Two year,No,OneMoney,54.9,1154.27,0
Female,1,Yes,Yes,10,Yes,No,None,Month-to-month,No,Cash deposit,42.69,513.13,1
Female,0,Yes,Yes,57,Yes,No,TelOne ADSL,One year,No,EcoCash,39.27,2206.4,0
Female,0,Yes,Yes,49,Yes,Yes,ZOL Fibroniks,Month-to-month,Yes,EcoCash,48.81,2300.94,0
Female,1,No,Yes,47,Yes,No,None,One year,No,EcoCash,45.31,2096.28,1
Male,1,No,Yes,42,Yes,No,ZOL Fibroniks,Two year,Yes,EcoCash,61.97,2567.65,1
Male,0,No,No,9,Yes,Yes,Liquid Home,One year,Yes,OneMoney,33.04,352.45,0
Male,0,Yes,Yes,37,Yes,No,ZOL Fibroniks,Month-to-month,Yes,EcoCash,33.63,1375.99,0
Female,0,No,Yes,51,Yes,No,Econet Mobile,Month-to-month,Yes,OneMoney,41.54,2126.33,1
Male,0,Yes,Yes,36,Yes,No,ZOL Fibroniks,Two year,Yes,EcoCash,38.38,1339.05,0
Male,0,Yes,Yes,52,Yes,No,ZOL Fibroniks,Month-to-month,No,Cash deposit,71.42,3653.32,1
Male,0,Yes,Yes,24,Yes,Yes,Liquid Home,Month-to-month,No,ZIPIT,47.44,1190.12,1
Male,0,Yes,No,37,Yes,Yes,Liquid Home,Month-to-month,No,ZIPIT,24.98,960.44,0
Male,0,Yes,No,27,Yes,Yes,Econet Mobile,One year,Yes,Cash deposit,11.16,359.9,0
Male,0,No,Yes,72,Yes,No,TelOne ADSL,One year,Yes,EcoCash,66.28,4745.74,0
Female,0,Yes,Yes,13,Yes,No,TelOne ADSL,One year,Yes,Bank debit order,31.25,487.82,0
Female,0,No,Yes,20,Yes,No,ZOL Fibroniks,Month-to-month,No,EcoCash,43.95,887.71,0
Female,0,No,No,49,Yes,No,None,One year,Yes,EcoCash,37.67,1810.19,0
Male,1,No,Yes,4,Yes,No,Liquid Home,Two year,Yes,EcoCash,52.52,107.44,0
Female,0,Yes,No,37,Yes,Yes,Liquid Home,One year,No,Bank debit order,28.05,1012.15,1
Male,0,No,No,2,Yes,No,ZOL Fibroniks,Month-to-month,Yes,OneMoney,40.14,54.0,0
Female,0,Yes,No,38,Yes,Yes,None,Two year,No,EcoCash,28.18,1017.29,0
Female,0,Yes,Yes,23,Yes,Yes,TelOne ADSL,Two year,No,EcoCash,88.07,2047.97,0
Female,0,Yes,No,13,Yes,Yes,ZOL Fibroniks,One year,No,Bank debit order,24.45,283.22,0
Male,0,No,Yes,36,Yes,No,ZOL Fibroniks,Month-to-month,No,EcoCash,48.08,1683.3,1
Male,0,No,Yes,24,Yes,No,TelOne ADSL,Two year,Yes,EcoCash,89.22,2095.43,0
Female,0,No,No,5,No,No phone service,ZOL Fibroniks,One year,Yes,EcoCash,57.78,217.94,1
Male,0,No,No,38,Yes,No,TelOne ADSL,Month-to-month,Yes,EcoCash,37.62,1401.01,0
Male,0,No,Yes,41,Yes,No,Liquid Home,Two year,Yes,Cash deposit,41.01,1654.14,0
Male,0,No,Yes,48,Yes,No,Liquid Home,One year,Yes,OneMoney,23.37,1109.52,0
Male,1,No,Yes,65,Yes,Yes,Econet Mobile,One year,Yes,EcoCash,68.24,4454.7,1
Male,0,Yes,No,51,Yes,Yes,TelOne ADSL,Month-to-month,Yes,Cash deposit,33.94,1807.49,1
Male,0,No,Yes,58,Yes,Yes,ZOL Fibroniks,Month-to-month,Yes,Cash deposit,36.68,2177.96,1
Female,0,No,Yes,47,Yes,No,Liquid Home,Month-to-month,No,Bank debit order,22.19,964.75,0
Female,0,No,Yes,49,Yes,No,None,Month-to-month,Yes,EcoCash,32.38,1631.3,1
Female,0,Yes,No,57,Yes,Yes,Econet Mobile,Month-to-month,No,EcoCash,39.18,2287.4,1
Male,0,Yes,No,48,Yes,Yes,Econet Mobile,One year,No,Cash deposit,57.61,2803.16,0
Female,0,No,Yes,36,Yes,No,Econet Mobile,Month-to-month,Yes,EcoCash,42.79,1517.86,0
Male,0,Yes,No,53,Yes,No,ZOL Fibroniks,Month-to-month,Yes,EcoCash,57.71,3131.85,0
Male,0,Yes,Yes,70,Yes,Yes,ZOL Fibroniks,Month-to-month,No,Cash deposit,8.0,515.11,0
Male,0,No,No,36,No,No phone service,ZOL Fibroniks,One year,No,EcoCash,63.21,2328.9,0
Male,0,No,No,16,No,No phone service,ZOL Fibroniks,One year,Yes,ZIPIT,13.85,273.43,0
Female,0,No,Yes,29,Yes,No,Econet Mobile,Month-to-month,Yes,Bank debit order,51.85,1528.62,0
Male,1,No,No,1,Yes,No,ZOL Fibroniks,Month-to-month,Yes,OneMoney,8.0,0.0,0
Female,0,Yes,No,22,Yes,No,Liquid Home,Month-to-month,No,Cash deposit,39.18,872.06,1
Male,0,Yes,Yes,64,Yes,No,ZOL Fibroniks,One year,No,Cash deposit,55.06,3565.47,0
Female,0,No,Yes,7,Yes,No,Econet Mobile,One year,Yes,Cash deposit,22.86,162.43,0
Male,0,Yes,No,64,Yes,Yes,Econet Mobile,One year,No,ZIPIT,38.65,2469.49,0
Male,0,No,Yes,41,Yes,Yes,Econet Mobile,Two year,Yes,EcoCash,54.67,2222.77,0
Female,0,No,Yes,23,Yes,Yes,Liquid Home,One year,Yes,EcoCash,51.22,1151.7,0
Female,0,No,Yes,34,No,No phone service,None,Month-to-month,No,Cash deposit,9.93,332.86,0
Male,0,No,No,64,No,No phone service,None,Month-to-month,No,EcoCash,55.98,3642.64,0
Female,0,No,No,8,Yes,Yes,TelOne ADSL,Month-to-month,Yes,EcoCash,68.76,514.91,1
Male,1,No,No,41,Yes,No,TelOne ADSL,Month-to-month,No,OneMoney,59.87,2474.29,0
Female,0,Yes,Yes,19,Yes,No,Liquid Home,Month-to-month,Yes,EcoCash,15.85,166.68,1
Female,1,Yes,No,39,Yes,No,Econet Mobile,Month-to-month,Yes,Cash deposit,18.46,693.67,1
Male,0,Yes,Yes,57,Yes,Yes,None,Month-to-month,No,Bank debit order,39.37,2279.77,1
Female,1,No,No,67,Yes,Yes,Liquid Home,Month-to-month,No,EcoCash,48.54,3302.46,0
Male,0,Yes,No,18,Yes,Yes,Liquid Home,One year,Yes,EcoCash,53.68,910.61,0
Male,0,No,Yes,48,Yes,No,ZOL Fibroniks,Month-to-month,No,Cash deposit,23.75,1154.16,0
Male,0,No,No,31,Yes,Yes,None,Month-to-month,No,EcoCash,36.66,1175.4,0
Male,1,Yes,Yes,36,Yes,Yes,TelOne ADSL,Month-to-month,Yes,EcoCash,23.27,797.23,0
Female,0,No,Yes,11,Yes,Yes,None,Month-to-month,Yes,EcoCash,19.88,134.84,1
Male,0,Yes,No,62,Yes,No,TelOne ADSL,Two year,Yes,EcoCash,45.31,2741.5,0
Male,0,Yes,Yes,12,Yes,No,Liquid Home,Month-to-month,No,ZIPIT,36.68,360.07,1
Female,1,Yes,No,2,Yes,No,TelOne ADSL,Two year,Yes,EcoCash,46.2,127.51,0
Male,0,Yes,Yes,55,Yes,Yes,ZOL Fibroniks,Two year,Yes,OneMoney,27.71,1528.71,0
Female,0,No,Yes,29,Yes,Yes,Liquid Home,One year,No,ZIPIT,50.05,1429.46,0
Male,0,No,No,4,Yes,No,Liquid Home,Month-to-month,Yes,EcoCash,17.7,25.74,1
Female,1,No,Yes,49,Yes,Yes,TelOne ADSL,Month-to-month,No,EcoCash,29.8,1514.74,0
Female,0,No,No,20,Yes,Yes,Liquid Home,Month-to-month,No,EcoCash,18.08,350.4,0
Female,0,No,No,71,Yes,No,Liquid Home,One year,Yes,ZIPIT,43.12,3076.85,0
Male,0,No,Yes,71,Yes,No,Econet Mobile,Two year,No,EcoCash,70.62,4967.88,0
Male,1,No,Yes,40,Yes,Yes,ZOL Fibroniks,One year,No,Cash deposit,44.64,1725.97,1
Female,1,Yes,Yes,34,No,No phone service,None,Month-to-month,No,Cash deposit,36.17,1279.78,0
Male,0,No,No,32,Yes,Yes,TelOne ADSL,Month-to-month,No,OneMoney,34.45,1105.89,0
Female,0,No,Yes,44,Yes,Yes,TelOne ADSL,Month-to-month,Yes,Bank debit order,27.56,1220.48,0
Male,0,Yes,No,66,Yes,Yes,ZOL Fibroniks,Two year,No,EcoCash,57.89,3836.32,0
Female,1,Yes,No,46,Yes,Yes,ZOL Fibroniks,Month-to-month,No,EcoCash,45.41,2137.59,0
Female,0,Yes,Yes,7,Yes,Yes,Econet Mobile,Month-to-month,No,EcoCash,8.0,113.57,1
Male,0,Yes,No,14,No,No phone service,None,Month-to-month,No,ZIPIT,57.59,749.7,0
Male,0,No,Yes,45,No,No phone service,TelOne ADSL,Month-to-month,No,EcoCash,22.33,991.18,0
Female,0,Yes,Yes,26,Yes,No,ZOL Fibroniks,Month-to-month,Yes,Bank debit order,26.19,628.73,0
Male,0,No,Yes,34,Yes,No,Econet Mobile,Month-to-month,Yes,Cash deposit,45.24,1546.4,0
Female,0,No,No,29,Yes,Yes,None,Month-to-month,Yes,OneMoney,27.23,769.56,0
Male,1,Yes,Yes,43,Yes,Yes,TelOne ADSL,Month-to-month,Yes,OneMoney,78.37,3353.67,0
Female,0,No,No,16,Yes,Yes,ZOL Fibroniks,Month-to-month,No,EcoCash,33.71,527.51,0
Female,0,No,Yes,5,Yes,No,Liquid Home,Month-to-month,Yes,EcoCash,49.4,232.54,0
Male,0,No,No,17,Yes,Yes,None,One year,Yes,EcoCash,10.2,298.94,0
Female,0,Yes,No,48,Yes,Yes,ZOL Fibroniks,One year,Yes,OneMoney,26.91,1194.39,1
Male,1,No,No,44,Yes,No,ZOL Fibroniks,One year,No,EcoCash,35.64,1559.95,0
Female,0,Yes,Yes,59,Yes,Yes,Econet Mobile,Month-to-month,Yes,Cash deposit,55.94,3225.02,0
Male,0,Yes,Yes,7,Yes,No,TelOne ADSL,One year,No,Bank debit order,18.63,138.07,0
Male,0,Yes,Yes,10,Yes,Yes,ZOL Fibroniks,Month-to-month,Yes,EcoCash,59.59,524.54,0
Male,0,Yes,Yes,9,Yes,No,TelOne ADSL,Month-to-month,Yes,ZIPIT,40.29,358.82,1
Male,0,No,No,41,Yes,No,None,One year,Yes,EcoCash,43.89,1762.37,1
Male,0,Yes,Yes,41,Yes,Yes,Econet Mobile,Month-to-month,No,OneMoney,24.58,1061.07,1
Female,0,No,Yes,11,No,No phone service,ZOL Fibroniks,Month-to-month,Yes,Cash deposit,20.63,152.04,0
Male,0,Yes,No,32,Yes,No,Econet Mobile,Month-to-month,Yes,OneMoney,8.0,187.68,0
Female,0,No,Yes,3,Yes,No,TelOne ADSL,Two year,Yes,ZIPIT,43.39,72.36,0
Male,0,Yes,No,44,Yes,Yes,ZOL Fibroniks,One year,Yes,EcoCash,49.29,2186.91,0
